@relation 'city_day_new-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1-2,5,7-8,12-14,16'

@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO2 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
?,?,18.22,0.92,27.64,133.36,?
?,?,15.69,0.97,24.55,34.06,?
?,?,19.3,17.4,29.07,30.7,?
?,?,18.48,1.7,18.59,36.08,?
?,?,21.42,22.1,39.33,39.31,?
?,?,38.48,45.41,45.76,46.51,?
?,?,40.62,112.16,32.28,33.47,?
?,?,36.74,80.87,38.54,31.89,?
?,?,31,29.16,58.68,25.75,?
?,?,7.04,?,8.29,4.55,?
?,?,55.8,132.07,25.03,6.79,?
?,?,40.67,52.04,51.84,45.89,?
?,?,44.2,48.82,68.21,35.16,?
?,?,27.86,19.2,52.65,20.96,?
?,?,16.96,0.6,28.89,47.63,?
?,?,21.72,1.63,38.27,46.03,?
?,?,24.73,11.44,49.5,52.24,?
?,?,25.77,6.1,48.43,53.49,?
?,?,26.88,2.51,50.03,49.48,?
?,?,26.8,7.92,58.87,56.37,?
?,?,33.56,9.52,106.93,48.75,?
?,?,17.51,9.05,23.71,42.22,?
?,?,27.96,22.53,39.19,32.92,?
?,?,20.39,2.03,40.07,32.49,?
?,?,20.43,1.42,58.41,39.26,?
?,?,21.16,2.27,43.73,39.83,?
?,?,21.7,2.19,43.28,41.1,?
73.24,?,21.11,5.72,36.52,62.42,?
83.13,?,28.71,6.93,49.52,59.76,209
79.84,?,28.68,13.85,48.49,97.07,328
94.52,?,32.66,24.39,67.39,111.33,514
135.99,?,42.08,43.48,75.23,102.7,782
178.33,?,35.31,54.56,55.04,107.38,914
139.7,?,28.4,30.61,33.79,73.6,660
80.65,?,22.83,2.37,25.73,47.3,294
58.36,?,21.39,2.6,32.66,53.54,149
79.29,?,26.94,1.16,67.41,59.3,190
88.7,?,31.32,7.29,80.09,44.76,247
74.28,?,27.3,8.92,54.28,47.42,379
113.93,?,24.27,4.32,48.73,39.94,341
105.39,?,18.21,1.41,35.91,56.15,256
66.52,?,23.8,6.34,66.58,53.14,388
65.04,?,30.1,14.19,65.91,31.88,288
103.36,?,39.56,18.18,80.43,40.11,510
177.33,?,47.58,37.49,99.72,36.47,761
113.25,?,30.5,15.55,69.71,33.78,475
99.7,?,28.1,19.85,73.23,30.57,536
80.61,?,21.04,15.96,54.7,36.2,479
100.79,?,25.93,16.24,43.11,37.43,592
107.99,?,30.09,11.25,84.86,31.94,427
140.29,?,36.14,33.84,101.53,40.98,588
239.96,?,46.25,61.95,84.87,33.55,1141
142.96,?,48.21,45.45,62.96,34.77,669
238.41,?,55.07,77.7,89.07,37.3,1247
118.72,?,32.01,12.56,61.54,38.8,411
52.99,?,10.45,2.23,32.76,67.25,292
?,?,?,?,?,?,?
?,?,?,?,?,?,?
?,?,?,?,?,?,?
61.12,?,16.81,3.58,28.44,30.48,?
60.78,?,18.21,9.07,29.48,34.75,189
91.83,?,28.71,12.99,39.71,38.46,408
93.88,?,29.38,18.21,62.75,46.79,383
173.01,?,42.27,48.44,78.76,59.39,780
?,?,?,?,?,?,?
105.45,?,16.1,2.5,29.29,69.9,?
71.56,?,16.83,3.51,30.28,57.16,190
119.8,?,24.07,4.13,50.35,50.49,233
106.71,?,25.59,5.39,38.85,60.17,297
118.49,?,28.94,4.11,54.2,53.61,330
106.01,?,27.31,4.28,70.29,40.91,252
97.34,?,21.58,3.67,64.39,45.69,244
83.92,?,25.03,6.42,67.53,34.94,234
49.51,?,14.16,3.1,48.33,37.95,219
30.76,?,14.14,2.72,43.62,54.78,118
50.29,?,29.84,5.34,59.23,45.44,231
57.69,?,29.48,25.36,58.33,52.87,286
105.06,?,37.05,46.24,53.62,45.65,883
94.1,?,36.53,22.14,61.31,46.77,720
111.89,?,43.29,22.25,66.44,50.57,570
108.59,?,39.34,25.38,75.8,46.68,589
130.76,?,41.03,45.61,65.77,41.58,818
143.55,?,31.15,27.3,50.98,35.38,737
165.07,?,34.48,23.83,64.32,43.79,585
166.85,?,43.3,17.93,79.71,53.44,616
147.38,?,35.82,6.4,46.89,17.94,437
158.25,?,27.89,5.86,142.36,38.54,321
237.76,?,21.8,4.99,96.28,39.77,372
133.37,?,17.99,3.88,57.34,39.66,339
133.3,?,20,6.52,51.58,59.03,339
96.04,?,20.07,3.8,62.42,46.61,324
77.69,?,18.87,5.24,100.48,27.14,222
53.07,?,13.82,4.17,40.36,21.76,169
63.11,?,15.5,5.63,38.21,4.72,220
156.76,?,16.7,3.92,26.32,37.11,?
120.96,?,20.86,4.23,35.54,35.66,303
138.63,?,25.47,5.65,87.43,29.77,314
144.36,?,30.69,15.82,66.39,27.34,378
85.03,?,26.7,3.3,59.16,35.89,415
134.6,?,26.27,5.9,34.53,7,?
61.06,?,14.03,3.52,8.08,19.54,126
39.42,?,19.56,5.28,17.66,31.3,175
111.86,?,22.51,3.89,15.84,31.23,226
58.37,?,21.71,5.74,25.9,43.92,244
95.37,?,26.23,18.01,13.59,41.64,315
141.3,?,36.88,30.8,41.06,37.66,678
106.68,?,46.38,19.91,31.56,48.49,774
109.48,?,20.27,4.3,46.6,31.34,285
126.04,?,20.18,6.99,79.56,28.71,321
71.22,?,21.32,16.73,50.09,28.39,358
97.87,?,17.96,6.3,13.85,34.16,357
63.38,?,13.28,3.44,24.79,43.62,189
75.29,?,14.29,3.35,76.05,60.71,?
80.9,?,18.62,5.7,65.44,22.8,214
103.29,?,19.82,4.55,85.42,22.18,253
107.5,?,15.56,5.29,74.37,10.12,239
161.14,?,14.77,3.11,118.35,59.73,?
102.58,?,12.74,3.88,41.94,26.89,?
138.42,?,16.7,5.05,77.74,27.18,300
129.04,?,14.86,5.69,78.27,18.67,317
96.65,?,15.9,4.67,39.41,11.83,240
126.77,?,23.93,15.69,93.18,36.71,344
106.15,?,23.02,13.12,65.95,81.6,503
86.31,?,10.5,2.69,50.13,90.54,308
83.99,?,0.08,2.73,34.06,69.57,227
65.11,?,4.58,3.14,22.27,32.26,120
51.03,?,20.47,6.24,15.5,31.44,158
38.73,?,19.28,8,20.13,25.7,177
61.12,?,17.82,9.94,39.69,25.9,201
58.44,?,17.24,10.68,54.69,18.89,211
61.49,?,16.69,11.44,42.66,18.2,221
65.39,?,16.08,12.3,27.96,22.35,233
100.92,?,18.9,20.42,31.9,22.84,481
97.48,?,30.02,5.31,36.05,16.26,352
129.27,?,28.33,14.28,70.13,25.4,327
129.58,?,28.79,21.23,17.66,34.42,577
100.57,?,18.79,7.56,38.76,38.83,411
130.34,?,17.43,7.14,52.07,29.05,212
53.24,?,15.86,8.05,36.23,21.58,280
42,?,18.16,10.44,17,25.5,162
50.1,?,14.9,9.46,30.67,12.91,?
83.69,?,17.18,10.89,41.12,35.61,569
38.88,?,16.28,2.18,26.4,12.47,128
46.89,?,16.17,2.96,41.96,10.74,129
70.96,?,15.47,4.12,23.67,16.01,152
53.66,?,14.43,4.23,14.46,45.64,176
45.49,?,13.73,4.26,12.85,71.85,167
60.86,?,16.61,5.27,14.91,41.19,106
51.93,?,17.87,13.71,15.33,12.88,231
77.87,?,17.12,6.67,46.82,16.67,327
57.59,?,15.47,5.6,41.68,25.51,174
77.22,?,15.47,7.02,71.97,9.56,185
45.29,?,12.74,7.25,18.64,6.32,179
103.78,?,13.9,6.36,7.76,15.27,211
25.14,?,18.73,6.01,38.05,38.52,192
87.03,?,17.88,8.05,23.84,48.22,310
89.6,?,19.84,6.59,48.05,44.78,223
80.69,?,16.07,6.86,39.85,32.65,192
44.75,?,16.53,7.76,9.89,8.07,191
38.11,?,11.62,7.41,3.13,6.69,184
45.5,?,15.59,8.56,0.76,3.82,220
36.98,?,11.52,8.21,0.52,5.17,215
43.58,?,13.33,8.26,1.02,7.56,226
45.49,?,14.91,9.63,0.81,2.94,251
38.06,?,18.57,8.67,1.05,4.63,216
45.41,?,20.55,9.35,0.74,4.5,237
37.71,?,16.26,8.54,0.87,4.6,198
32.37,?,14.36,7.53,2.17,12.17,195
34.74,?,13.51,7.59,4.11,12.22,187
32.56,?,13.91,7.34,4.04,11.85,181
29.28,?,11.68,7.55,4.01,12.64,179
20.46,?,10.61,7.15,5.62,12.7,188
26.07,?,11.07,7.99,4.1,10.57,190
21.43,?,11.16,7.45,4.99,7.38,185
11.91,?,10.1,7.34,10.86,5.47,189
57.75,?,9.68,8.68,12.28,3.06,196
66.39,?,12.79,8.58,11.09,4.96,201
62.61,?,9.83,9.15,12.31,6.44,231
47.5,?,9.53,8.07,13.91,7.28,196
111.8,?,11.51,9.23,5.27,5.99,220
30,?,13.59,8.87,8.09,6.31,244
4.66,?,10.9,9.01,7.31,6.38,223
48.72,?,11.94,9.56,5.72,6.61,230
49.7,?,9.81,9.43,6.78,6.42,243
48.1,?,9.53,8.03,9.33,7.6,215
47.43,?,9.45,8.11,7.93,7.08,199
51.74,?,12.38,8.91,10.05,5.78,200
42.68,?,11.08,9.74,10.87,4.44,226
38.45,?,7.8,10.55,10.28,3.24,241
46.69,?,0.17,11.48,10.25,5.76,222
55.27,?,0.12,11.55,12.7,6.55,223
149.03,?,0.16,11.49,10.07,7.27,248
86.57,?,0.17,11.47,11.09,6.53,300
111.77,?,0.24,11.3,7.73,4.67,232
151.4,?,0.36,10.8,7.8,5.46,330
51.35,?,2.69,8,10,5.76,223
65.37,?,8.07,0.64,16.31,8.02,105
56.28,?,8.02,0.6,18.93,6.2,101
48.17,?,8,0.65,18.99,7.97,93
33.56,?,7.89,0.72,11.28,10.18,67
31.3,?,8.1,0.55,10.29,7.44,60
48.12,?,7.9,0.67,1.28,6.3,?
57.11,?,8.28,0.55,14.58,2.6,90
34.72,?,9.73,0.1,13.62,4.87,78
29.22,?,9.57,0.06,13.58,5.08,48
29.79,?,8.64,0.14,15.11,5.34,53
59.95,?,8.78,0.18,11.52,2.79,91
19.2,?,9.45,1.52,11.23,4.61,70
19.52,?,11.26,5.89,11.56,4.4,157
35.16,?,10.89,5.75,14.7,3.67,158
33.03,?,10.58,7.01,12.95,3.53,169
40.95,?,10.47,6.92,19.8,3.38,174
40.29,?,10.52,6.74,8.27,3.57,173
41.16,?,10.51,6.91,13.48,3.69,172
36.12,?,11.56,7.21,13.62,6.08,190
28.51,?,20.52,6.69,5.69,7.65,171
31.59,?,20.42,6.99,9.23,7.9,168
42.56,?,20.4,7.17,6.28,9.86,172
48.12,?,20.3,7.14,6.77,12.78,173
37.09,?,20.21,7.22,8.66,7.94,175
33.4,?,20.09,7.4,9.95,8.39,179
38.64,?,20.21,7.35,9.74,6.28,174
40.49,?,20.23,7.48,8.92,21.51,176
